Age,AgeBin,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,IncomeBin,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Cluster
42,Middle Age,No,Travel_Frequently,Sales,26,3,Marketing,3,Female,3,4,Sales Executive,2,Married,13525,Medium,5,No,14,3,4,1,23,2,4,20,4,4,8,Mid-to-senior professionals
18,Youth,Yes,Travel_Rarely,Research & Development,3,3,Life Sciences,3,Male,3,1,Laboratory Technician,3,Single,1420,Low,1,No,13,3,3,0,0,2,3,0,0,0,0,Early-career professional
35,Young Adult,No,Travel_Rarely,Sales,16,3,Marketing,3,Male,3,3,Sales Executive,2,Married,8020,Average,0,No,15,3,3,2,12,3,2,11,9,6,9,Mid-career professional
36,Young Adult,No,Travel_Frequently,Research & Development,18,4,Life Sciences,3,Male,4,1,Laboratory Technician,4,Married,3688,Average,4,No,18,3,4,2,4,2,3,1,0,0,0,Early-career professional
51,Middle Age,No,Travel_Rarely,Research & Development,2,3,Medical,4,Male,1,2,Manufacturing Director,2,Divorced,5482,Average,5,No,18,3,4,1,13,3,3,4,1,1,2,Mid-career professional
41,Middle Age,No,Travel_Rarely,Sales,2,4,Life Sciences,4,Male,3,4,Manager,2,Single,16015,Medium,1,No,19,3,2,0,22,2,3,22,10,0,4,Mid-to-senior professionals
18,Youth,No,Travel_Rarely,Sales,10,3,Medical,4,Female,2,1,Sales Representative,3,Single,1200,Low,1,No,12,3,1,0,0,2,3,0,0,0,0,Early-career professional
28,Young Adult,No,Travel_Rarely,Research & Development,16,2,Medical,2,Male,4,2,Healthcare Representative,1,Single,5661,Average,0,No,19,3,3,0,9,2,3,8,3,0,7,Early-career professional
31,Young Adult,No,Travel_Rarely,Sales,7,3,Technical Degree,2,Male,4,2,Sales Executive,4,Married,6929,Average,4,No,11,3,2,1,10,3,2,8,7,7,7,Mid-career professional
39,Young Adult,No,Travel_Rarely,Research & Development,1,3,Medical,3,Male,4,3,Healthcare Representative,4,Divorced,9613,Medium,0,No,17,3,1,3,19,5,2,18,10,3,7,Mid-career professional
36,Young Adult,No,Non-Travel,Research & Development,24,4,Life Sciences,2,Female,3,2,Laboratory Technician,2,Married,5674,Average,7,No,15,3,3,1,11,3,3,9,8,0,8,Mid-career professional
32,Young Adult,No,Travel_Rarely,Sales,7,3,Life Sciences,4,Male,2,2,Sales Executive,3,Married,5484,Average,1,No,14,3,3,1,13,3,2,13,8,4,8,Mid-career professional
38,Young Adult,No,Travel_Rarely,Research & Development,25,2,Life Sciences,1,Female,2,3,Research Director,2,Married,12061,Medium,3,No,17,3,3,1,19,2,3,10,8,0,1,Mid-career professional
58,Middle Age,No,Non-Travel,Research & Development,1,4,Life Sciences,4,Male,1,2,Healthcare Representative,3,Divorced,5660,Average,2,Yes,13,3,4,1,12,2,3,5,3,1,2,Mid-career professional
31,Young Adult,No,Travel_Rarely,Research & Development,5,4,Technical Degree,3,Male,3,1,Research Scientist,4,Married,4821,Average,0,Yes,12,3,3,1,6,4,3,5,2,0,3,Early-career professional
31,Young Adult,No,Travel_Rarely,Human Resources,2,3,Human Resources,1,Male,2,2,Human Resources,1,Married,6410,Average,3,No,12,3,4,0,9,1,3,2,2,1,0,Early-career professional
45,Middle Age,No,Travel_Frequently,Research & Development,7,3,Life Sciences,1,Male,3,3,Laboratory Technician,1,Divorced,5210,Average,1,No,18,3,1,1,24,2,3,24,9,9,11,Mid-to-senior professionals
31,Young Adult,No,Travel_Rarely,Research & Development,2,4,Life Sciences,3,Male,3,1,Research Scientist,4,Divorced,2695,Low,0,Yes,18,3,2,1,3,2,1,2,2,2,2,Early-career professional
33,Young Adult,No,Travel_Frequently,Research & Development,5,4,Life Sciences,4,Female,3,3,Manager,2,Married,11878,Medium,6,No,11,3,2,2,12,2,3,10,6,8,8,Mid-career professional
39,Young Adult,No,Travel_Rarely,Research & Development,10,1,Medical,3,Male,3,4,Manager,1,Married,17068,High,1,Yes,14,3,4,0,21,3,3,21,9,11,10,Experienced senior professional
43,Middle Age,No,Travel_Frequently,Research & Development,10,4,Life Sciences,3,Female,3,1,Laboratory Technician,4,Single,2455,Low,0,No,19,3,1,0,9,5,3,8,7,1,7,Mid-career professional
49,Middle Age,No,Travel_Rarely,Research & Development,1,2,Technical Degree,3,Female,2,4,Healthcare Representative,3,Single,13964,Medium,7,Yes,12,3,4,0,25,2,3,7,1,0,7,Mid-career professional
52,Middle Age,Yes,Travel_Rarely,Research & Development,8,4,Medical,3,Male,2,2,Research Scientist,2,Married,4941,Average,2,No,15,3,1,0,11,3,2,8,2,7,7,Mid-career professional
27,Young Adult,No,Travel_Rarely,Research & Development,5,3,Life Sciences,3,Female,3,1,Research Scientist,2,Single,2478,Low,1,Yes,12,3,2,0,4,2,2,4,3,1,2,Early-career professional
32,Young Adult,No,Travel_Rarely,Sales,8,2,Technical Degree,3,Female,2,2,Sales Executive,2,Married,5228,Average,1,Yes,11,3,4,0,13,2,3,13,12,11,9,Mid-career professional
27,Young Adult,No,Travel_Rarely,Sales,2,3,Life Sciences,4,Male,3,2,Sales Executive,3,Single,4478,Average,1,Yes,11,3,1,0,5,3,3,5,4,0,4,Early-career professional
31,Young Adult,No,Travel_Rarely,Sales,7,3,Marketing,4,Male,3,2,Sales Executive,4,Divorced,7547,Average,4,No,12,3,4,3,13,3,3,7,7,1,7,Mid-career professional
32,Young Adult,No,Travel_Rarely,Research & Development,2,4,Medical,1,Female,4,2,Research Scientist,4,Single,5055,Average,7,No,16,3,3,0,10,0,2,7,7,0,7,Mid-career professional
28,Young Adult,Yes,Travel_Rarely,Research & Development,2,4,Medical,1,Male,1,1,Research Scientist,4,Married,3464,Average,5,Yes,13,3,4,0,5,4,2,3,2,2,2,Early-career professional
30,Young Adult,No,Travel_Rarely,Research & Development,28,2,Medical,4,Female,3,2,Research Scientist,4,Married,5775,Average,1,No,13,3,4,2,11,2,3,10,8,1,9,Mid-career professional
31,Young Adult,No,Travel_Frequently,Research & Development,7,2,Life Sciences,3,Female,2,3,Manufacturing Director,3,Married,8943,Medium,1,No,24,4,1,1,10,2,3,10,9,8,9,Mid-career professional
39,Young Adult,No,Travel_Frequently,Research & Development,7,2,Medical,3,Male,2,5,Manager,4,Married,19272,High,1,No,15,3,1,1,21,2,3,21,9,13,3,Experienced senior professional
39,Young Adult,Yes,Travel_Rarely,Sales,3,2,Medical,4,Female,3,2,Sales Executive,3,Married,5238,Average,4,Yes,18,3,1,0,12,3,2,1,0,0,0,Mid-career professional
33,Young Adult,No,Travel_Frequently,Sales,10,3,Marketing,2,Male,2,2,Sales Executive,4,Single,4682,Average,3,No,14,3,3,0,9,6,2,7,7,0,1,Mid-career professional
47,Middle Age,No,Travel_Rarely,Research & Development,5,5,Life Sciences,4,Male,3,5,Research Director,3,Married,18300,High,4,No,11,3,2,1,21,2,3,3,2,1,1,Specialized professionals
43,Middle Age,No,Travel_Frequently,Research & Development,10,4,Life Sciences,3,Female,2,2,Laboratory Technician,3,Divorced,5257,Average,1,No,11,3,2,1,9,3,4,9,7,0,0,Mid-career professional
27,Young Adult,No,Non-Travel,Sales,1,1,Marketing,3,Male,3,2,Sales Executive,2,Married,6349,Average,0,Yes,13,3,4,1,6,0,3,5,4,1,4,Early-career professional
54,Middle Age,No,Travel_Frequently,Research & Development,20,4,Life Sciences,4,Female,3,2,Research Scientist,3,Single,4869,Average,3,No,12,3,4,0,20,4,2,4,3,0,3,Mid-career professional
43,Middle Age,No,Travel_Rarely,Research & Development,7,3,Life Sciences,3,Female,3,3,Healthcare Representative,1,Married,9985,Medium,8,No,16,3,1,1,10,1,2,1,0,0,0,Mid-career professional
45,Middle Age,No,Travel_Rarely,Research & Development,8,4,Other,4,Male,3,2,Research Scientist,4,Married,3697,Average,9,No,14,3,1,2,12,3,3,10,9,9,8,Mid-career professional
40,Middle Age,No,Travel_Rarely,Sales,1,2,Medical,2,Male,1,2,Sales Executive,4,Married,7457,Average,2,Yes,22,4,3,3,6,2,2,4,3,0,2,Early-career professional
29,Young Adult,Yes,Travel_Rarely,Research & Development,8,4,Other,2,Male,1,1,Laboratory Technician,1,Married,2119,Low,1,Yes,11,3,4,0,7,4,2,7,7,0,7,Early-career professional
29,Young Adult,No,Travel_Rarely,Research & Development,9,5,Other,2,Male,2,1,Laboratory Technician,4,Single,3983,Average,0,No,17,3,3,0,4,2,3,3,2,2,2,Early-career professional
30,Young Adult,No,Travel_Rarely,Sales,5,3,Marketing,4,Female,2,2,Sales Executive,3,Divorced,6118,Average,1,No,13,3,3,3,10,2,3,10,9,1,2,Mid-career professional
27,Young Adult,No,Travel_Rarely,Sales,8,4,Marketing,2,Female,3,2,Sales Executive,2,Married,6214,Average,1,No,18,3,1,1,8,3,3,8,7,0,7,Early-career professional
37,Young Adult,No,Travel_Rarely,Research & Development,5,2,Medical,4,Male,3,2,Manufacturing Director,4,Divorced,6347,Average,7,No,16,3,3,2,8,2,2,6,2,0,4,Mid-career professional
38,Young Adult,No,Travel_Rarely,Research & Development,15,2,Life Sciences,3,Male,2,3,Research Director,4,Divorced,11510,Medium,0,Yes,14,3,2,1,12,3,3,11,10,2,9,Mid-career professional
31,Young Adult,No,Travel_Rarely,Research & Development,7,4,Medical,3,Female,3,3,Manufacturing Director,4,Single,7143,Average,1,Yes,14,3,3,0,11,2,2,11,9,4,10,Mid-career professional
29,Young Adult,No,Travel_Rarely,Sales,10,1,Marketing,4,Female,2,2,Sales Executive,2,Divorced,8268,Average,1,Yes,14,3,1,2,7,2,3,7,7,1,7,Early-career professional
35,Young Adult,No,Travel_Rarely,Research & Development,5,4,Technical Degree,3,Male,3,3,Manufacturing Director,2,Single,8095,Average,0,No,13,3,4,0,17,5,3,16,6,0,13,Mid-career professional
23,Young Adult,No,Travel_Rarely,Research & Development,26,1,Life Sciences,3,Male,3,1,Research Scientist,4,Divorced,2904,Low,1,No,12,3,3,2,4,2,2,4,2,0,2,Early-career professional
41,Middle Age,No,Travel_Rarely,Research & Development,6,3,Medical,4,Male,2,2,Manufacturing Director,2,Single,6032,Average,6,Yes,15,3,4,0,8,3,3,5,4,1,2,Mid-career professional
47,Middle Age,No,Travel_Frequently,Sales,4,1,Medical,2,Male,3,2,Sales Representative,3,Single,2976,Average,3,No,19,3,1,0,5,3,3,0,0,0,0,Early-career professional
42,Middle Age,No,Travel_Rarely,Research & Development,23,5,Life Sciences,1,Female,3,4,Research Director,4,Single,15992,Medium,2,No,14,3,2,0,16,2,3,1,0,0,0,Mid-career professional
29,Young Adult,No,Non-Travel,Sales,2,3,Life Sciences,4,Male,3,2,Sales Executive,3,Married,4649,Average,1,No,14,3,1,1,4,3,2,4,3,0,2,Early-career professional
42,Middle Age,No,Travel_Rarely,Human Resources,2,1,Technical Degree,3,Male,3,1,Human Resources,3,Divorced,2696,Low,0,Yes,11,3,3,1,4,5,3,3,2,1,0,Early-career professional
32,Young Adult,No,Travel_Rarely,Research & Development,2,3,Medical,3,Female,3,1,Laboratory Technician,2,Married,2370,Low,1,No,13,3,3,1,8,4,3,8,0,0,7,Early-career professional
48,Middle Age,No,Travel_Rarely,Sales,29,1,Medical,1,Female,3,3,Manager,3,Married,12504,Medium,3,No,21,4,2,1,15,3,1,0,0,0,0,Mid-career professional
37,Young Adult,No,Travel_Rarely,Research & Development,6,3,Medical,3,Male,4,2,Research Scientist,1,Divorced,5974,Average,4,Yes,13,3,1,2,13,2,3,7,7,6,7,Mid-career professional
30,Young Adult,No,Non-Travel,Sales,25,2,Technical Degree,4,Female,3,2,Sales Executive,3,Married,4736,Average,7,Yes,12,3,2,1,4,2,4,2,2,2,2,Early-career professional
26,Young Adult,No,Travel_Rarely,Sales,1,3,Life Sciences,3,Male,3,2,Sales Executive,3,Married,5296,Average,1,No,17,3,2,1,8,3,3,8,7,7,7,Early-career professional
42,Middle Age,No,Travel_Rarely,Research & Development,2,4,Other,1,Male,2,2,Healthcare Representative,4,Single,6781,Average,3,No,23,4,2,0,14,6,3,1,0,0,0,Mid-career professional
21,Young Adult,Yes,Travel_Frequently,Sales,1,1,Technical Degree,1,Female,2,1,Sales Representative,2,Single,2174,Low,1,Yes,11,3,3,0,3,3,3,3,2,1,2,Early-career professional
36,Young Adult,No,Non-Travel,Sales,1,5,Medical,4,Female,3,2,Sales Executive,4,Single,6653,Average,4,No,15,3,2,0,7,6,3,1,0,0,0,Early-career professional
36,Young Adult,No,Travel_Frequently,Sales,3,4,Medical,1,Male,2,3,Sales Executive,4,Married,9699,Medium,4,No,11,3,1,1,16,2,3,13,9,1,12,Mid-career professional
57,Middle Age,No,Travel_Rarely,Research & Development,1,4,Medical,4,Male,3,2,Healthcare Representative,3,Married,6755,Average,2,No,11,3,3,0,15,2,3,3,2,1,2,Mid-career professional
40,Middle Age,No,Travel_Rarely,Research & Development,10,4,Life Sciences,4,Female,4,1,Laboratory Technician,3,Married,2213,Low,3,Yes,13,3,3,1,10,3,3,7,7,1,7,Mid-career professional
21,Young Adult,No,Non-Travel,Sales,9,2,Medical,1,Male,3,1,Sales Representative,4,Single,2610,Low,1,No,24,4,3,0,3,3,2,3,2,2,2,Early-career professional
33,Young Adult,Yes,Travel_Rarely,Sales,5,3,Marketing,4,Female,3,1,Sales Representative,3,Single,2851,Low,1,Yes,13,3,2,0,1,2,3,1,0,0,0,Early-career professional
37,Young Adult,No,Travel_Rarely,Research & Development,10,3,Medical,3,Female,3,1,Laboratory Technician,1,Married,3452,Average,6,No,20,4,2,1,17,3,3,5,4,0,3,Mid-career professional
46,Middle Age,No,Non-Travel,Research & Development,7,4,Medical,3,Female,3,2,Manufacturing Director,3,Married,5258,Average,2,No,14,3,3,0,7,2,4,1,0,0,0,Early-career professional
41,Middle Age,Yes,Travel_Frequently,Sales,4,3,Marketing,1,Male,3,2,Sales Executive,2,Single,9355,Medium,1,No,18,3,3,0,8,5,3,8,7,7,7,Mid-career professional
50,Middle Age,No,Travel_Rarely,Research & Development,10,3,Technical Degree,4,Male,2,3,Healthcare Representative,4,Single,10496,Medium,6,No,15,3,4,0,20,2,3,4,3,1,3,Mid-career professional
40,Middle Age,Yes,Travel_Rarely,Sales,22,2,Marketing,3,Male,2,2,Sales Executive,3,Married,6380,Average,2,Yes,12,3,1,2,8,6,3,6,4,1,0,Mid-career professional
31,Young Adult,No,Travel_Rarely,Research & Development,9,4,Life Sciences,3,Male,2,1,Research Scientist,2,Single,2657,Low,0,Yes,16,3,4,0,3,5,3,2,2,2,2,Early-career professional
21,Young Adult,Yes,Travel_Rarely,Sales,12,3,Life Sciences,3,Female,4,1,Sales Representative,2,Single,2716,Low,1,No,15,3,4,0,1,0,3,1,0,0,0,Early-career professional
29,Young Adult,No,Travel_Rarely,Research & Development,23,3,Life Sciences,4,Male,3,1,Research Scientist,4,Single,2201,Low,9,No,16,3,4,0,6,4,3,3,2,1,2,Early-career professional
35,Young Adult,No,Travel_Rarely,Research & Development,9,4,Life Sciences,3,Male,2,2,Healthcare Representative,2,Single,6540,Average,9,No,19,3,3,0,10,5,3,1,1,0,0,Early-career professional
27,Young Adult,No,Travel_Rarely,Research & Development,1,2,Medical,4,Male,3,1,Laboratory Technician,2,Divorced,3816,Average,1,No,11,3,2,1,5,2,3,5,2,0,4,Early-career professional
28,Young Adult,No,Travel_Rarely,Sales,9,4,Life Sciences,2,Male,3,2,Sales Executive,4,Single,5253,Average,1,No,16,3,4,0,7,1,3,7,5,0,7,Early-career professional
49,Middle Age,No,Travel_Rarely,Research & Development,7,3,Other,2,Male,2,3,Healthcare Representative,3,Single,10965,Medium,8,No,24,4,3,0,26,2,3,5,2,0,0,Mid-career professional
51,Middle Age,No,Travel_Rarely,Sales,14,2,Life Sciences,3,Female,3,2,Sales Executive,4,Married,4936,Average,4,No,11,3,3,1,18,2,2,7,7,0,7,Mid-career professional
36,Young Adult,No,Travel_Rarely,Research & Development,2,3,Life Sciences,4,Female,3,1,Research Scientist,3,Married,2543,Low,4,No,13,3,2,1,6,3,3,2,2,2,2,Early-career professional
34,Young Adult,Yes,Non-Travel,Sales,19,3,Marketing,1,Male,4,2,Sales Executive,4,Single,5304,Average,8,Yes,13,3,2,0,9,3,2,5,2,0,4,Early-career professional
55,Middle Age,No,Travel_Rarely,Research & Development,2,3,Life Sciences,3,Female,3,4,Manager,4,Single,16659,High,2,Yes,13,3,3,0,30,2,3,5,4,1,2,Highly experienced late-career professionals
24,Young Adult,No,Travel_Rarely,Sales,10,4,Marketing,4,Female,3,2,Sales Executive,3,Divorced,4260,Average,1,Yes,12,3,4,1,5,2,4,5,2,0,3,Early-career professional
30,Young Adult,No,Travel_Rarely,Sales,2,1,Technical Degree,3,Male,3,1,Sales Representative,2,Married,2476,Low,1,No,18,3,1,1,1,3,3,1,0,0,0,Early-career professional
26,Young Adult,Yes,Travel_Frequently,Research & Development,3,1,Technical Degree,3,Male,3,1,Research Scientist,1,Single,3102,Average,0,No,22,4,3,0,7,2,3,6,4,0,4,Early-career professional
22,Young Adult,No,Travel_Rarely,Research & Development,11,3,Medical,1,Female,3,1,Research Scientist,2,Married,2244,Low,1,No,13,3,4,1,2,1,3,2,1,1,2,Early-career professional
36,Young Adult,No,Travel_Rarely,Sales,2,2,Medical,2,Male,2,3,Sales Executive,3,Married,7596,Average,1,No,13,3,2,2,10,2,3,10,9,9,0,Mid-career professional
30,Young Adult,Yes,Travel_Frequently,Research & Development,4,3,Technical Degree,3,Male,3,1,Research Scientist,4,Single,2285,Low,9,Yes,23,4,3,0,3,4,3,1,0,0,0,Early-career professional
37,Young Adult,No,Travel_Rarely,Research & Development,14,3,Life Sciences,4,Female,3,1,Laboratory Technician,1,Divorced,3034,Average,1,No,12,3,3,1,18,2,2,18,7,12,17,Mid-career professional
40,Middle Age,No,Travel_Rarely,Sales,2,2,Marketing,4,Female,3,2,Sales Executive,2,Divorced,5715,Average,7,No,12,3,3,2,8,5,3,5,4,1,3,Mid-career professional
42,Middle Age,No,Travel_Rarely,Research & Development,1,4,Life Sciences,2,Female,3,1,Laboratory Technician,1,Divorced,2576,Low,3,No,16,3,2,1,8,5,3,5,2,1,2,Early-career professional
37,Young Adult,No,Travel_Rarely,Research & Development,10,4,Life Sciences,3,Male,3,2,Manufacturing Director,2,Single,4197,Average,2,Yes,12,3,4,0,18,2,2,1,0,0,1,Mid-career professional
43,Middle Age,No,Travel_Rarely,Research & Development,12,3,Life Sciences,1,Male,2,4,Research Director,2,Divorced,14336,Medium,1,No,11,3,3,1,25,3,3,25,10,3,9,Mid-to-senior professionals
40,Middle Age,No,Travel_Rarely,Research & Development,2,3,Medical,2,Female,2,2,Laboratory Technician,3,Married,3448,Average,6,No,22,4,2,1,20,3,3,1,0,0,0,Mid-career professional
54,Middle Age,No,Travel_Rarely,Research & Development,5,2,Medical,1,Male,3,5,Research Director,1,Married,19406,High,4,No,11,3,3,1,24,4,2,4,2,1,2,Specialized professionals
34,Young Adult,No,Non-Travel,Sales,4,4,Marketing,3,Female,3,2,Sales Executive,3,Married,6538,Average,9,No,15,3,1,1,6,3,3,3,2,1,2,Early-career professional
31,Young Adult,No,Travel_Rarely,Research & Development,7,2,Medical,2,Female,3,2,Manufacturing Director,1,Married,4306,Average,1,No,12,3,2,1,13,5,1,13,10,3,12,Mid-career professional
43,Middle Age,No,Travel_Frequently,Research & Development,21,3,Medical,4,Male,3,1,Laboratory Technician,4,Married,2258,Low,7,No,20,4,1,1,8,1,3,3,2,1,2,Early-career professional
43,Middle Age,No,Travel_Rarely,Research & Development,8,4,Other,3,Female,3,2,Healthcare Representative,3,Divorced,4522,Average,4,Yes,14,3,4,0,8,3,3,5,2,0,2,Mid-career professional
25,Young Adult,No,Travel_Rarely,Sales,4,2,Life Sciences,2,Female,2,2,Sales Executive,4,Single,4487,Average,1,Yes,11,3,2,0,5,3,3,5,4,1,3,Early-career professional
37,Young Adult,No,Non-Travel,Research & Development,25,5,Medical,2,Female,3,2,Research Scientist,3,Married,4449,Average,3,Yes,15,3,1,2,15,2,3,13,11,10,7,Mid-career professional
31,Young Adult,No,Travel_Rarely,Research & Development,1,2,Life Sciences,4,Male,2,1,Laboratory Technician,1,Married,2218,Low,1,No,12,3,3,1,4,3,3,4,2,3,2,Early-career professional
39,Young Adult,No,Travel_Frequently,Research & Development,1,1,Life Sciences,2,Male,3,5,Manager,3,Divorced,19197,High,1,Yes,14,3,3,1,21,3,3,21,8,1,6,Experienced senior professional
56,Middle Age,No,Travel_Frequently,Sales,6,3,Life Sciences,3,Female,4,4,Sales Executive,1,Married,13212,Medium,9,No,11,3,4,3,36,0,2,7,7,7,7,Experienced Mid-Salary Professionals
30,Young Adult,No,Travel_Rarely,Sales,12,3,Technical Degree,2,Female,3,2,Sales Executive,3,Single,6577,Average,0,No,11,3,2,0,6,6,3,5,4,4,4,Early-career professional
41,Middle Age,No,Travel_Rarely,Sales,1,3,Marketing,2,Male,4,3,Sales Executive,1,Married,8392,Medium,1,No,16,3,3,1,10,2,3,10,7,0,7,Mid-career professional
28,Young Adult,No,Travel_Rarely,Research & Development,17,2,Medical,3,Male,3,2,Laboratory Technician,1,Divorced,4558,Average,1,No,12,3,4,1,10,2,3,10,0,1,8,Mid-career professional
25,Young Adult,Yes,Travel_Rarely,Research & Development,3,3,Medical,1,Male,3,1,Laboratory Technician,1,Married,4031,Average,5,No,13,3,3,1,6,5,3,2,2,0,2,Early-career professional
52,Middle Age,No,Travel_Rarely,Research & Development,3,3,Medical,4,Male,2,3,Manufacturing Director,3,Married,7969,Average,2,Yes,14,3,3,0,28,4,3,5,4,0,4,Mid-career professional
45,Middle Age,No,Travel_Rarely,Research & Development,10,2,Life Sciences,1,Male,3,1,Research Scientist,4,Married,2654,Low,3,No,21,4,4,2,8,3,2,2,2,0,2,Early-career professional
52,Middle Age,No,Travel_Rarely,Research & Development,4,2,Life Sciences,4,Female,3,4,Manager,4,Married,16555,Medium,2,No,13,3,4,0,31,2,1,5,2,1,4,Experienced Mid-Salary Professionals
42,Middle Age,No,Travel_Frequently,Research & Development,29,2,Life Sciences,1,Female,3,2,Research Scientist,3,Divorced,4556,Average,2,No,11,3,2,1,19,3,3,5,4,0,2,Mid-career professional
30,Young Adult,No,Travel_Rarely,Research & Development,2,3,Life Sciences,3,Female,1,2,Manufacturing Director,4,Single,6091,Average,2,No,20,4,3,0,11,2,3,5,4,0,2,Mid-career professional
60,Old Age,No,Travel_Rarely,Research & Development,7,3,Life Sciences,1,Female,3,5,Manager,1,Married,19566,High,5,No,11,3,4,0,33,5,1,29,8,11,10,Senior Executives
46,Middle Age,No,Travel_Rarely,Research & Development,18,3,Medical,3,Female,3,2,Manufacturing Director,3,Divorced,4810,Average,2,No,14,3,3,1,19,5,2,10,7,0,8,Mid-career professional
42,Middle Age,No,Travel_Frequently,Research & Development,28,4,Technical Degree,4,Female,2,2,Healthcare Representative,4,Married,4523,Average,0,No,11,3,4,3,7,4,4,6,5,0,4,Mid-career professional
24,Young Adult,Yes,Travel_Rarely,Sales,1,1,Technical Degree,1,Female,3,1,Sales Representative,2,Single,3202,Average,1,Yes,16,3,2,0,6,4,3,5,3,1,4,Early-career professional
34,Young Adult,Yes,Travel_Frequently,Sales,6,2,Marketing,4,Female,1,1,Sales Representative,3,Divorced,2351,Low,0,No,16,3,4,1,3,3,2,2,2,1,0,Early-career professional
38,Young Adult,No,Travel_Frequently,Research & Development,2,2,Life Sciences,4,Male,3,1,Laboratory Technician,4,Married,1702,Low,1,Yes,23,4,3,1,1,3,3,1,0,0,0,Early-career professional
40,Middle Age,No,Travel_Rarely,Sales,2,4,Life Sciences,3,Female,3,5,Manager,3,Married,18041,High,0,No,14,3,4,0,21,2,3,20,15,1,12,Experienced senior professional
26,Young Adult,No,Travel_Rarely,Research & Development,23,3,Life Sciences,1,Female,3,1,Research Scientist,4,Divorced,2886,Low,1,No,22,4,2,2,3,3,1,3,2,0,2,Early-career professional
30,Young Adult,No,Non-Travel,Research & Development,3,3,Life Sciences,3,Male,3,1,Laboratory Technician,4,Married,2097,Low,4,No,15,3,3,1,9,3,1,5,3,1,4,Early-career professional
29,Young Adult,No,Travel_Rarely,Research & Development,3,4,Medical,2,Male,2,3,Research Director,3,Married,11935,Medium,1,No,18,3,3,0,10,2,3,10,2,0,7,Mid-career professional
29,Young Adult,Yes,Travel_Rarely,Research & Development,25,5,Technical Degree,3,Female,2,1,Research Scientist,2,Married,2546,Low,5,No,16,3,2,0,6,2,4,2,2,1,1,Early-career professional
19,Youth,Yes,Travel_Rarely,Human Resources,2,2,Technical Degree,1,Male,2,1,Human Resources,4,Single,2564,Low,1,No,12,3,3,0,1,3,4,1,0,0,0,Early-career professional
30,Young Adult,No,Non-Travel,Sales,22,4,Other,3,Female,3,3,Sales Executive,1,Married,8412,Medium,0,No,11,3,3,0,10,3,3,9,8,7,8,Mid-career professional
57,Middle Age,No,Travel_Rarely,Sales,29,3,Marketing,1,Male,2,4,Manager,4,Divorced,14118,Medium,3,No,12,3,3,1,32,3,2,1,0,0,0,Experienced Mid-Salary Professionals
50,Middle Age,No,Travel_Rarely,Research & Development,29,4,Life Sciences,2,Male,2,4,Manager,3,Married,17046,High,0,No,15,3,2,1,28,2,3,27,10,15,7,Experienced senior professional
30,Young Adult,No,Non-Travel,Research & Development,2,3,Medical,3,Female,3,1,Laboratory Technician,4,Single,2564,Low,0,No,14,3,3,0,12,2,2,11,7,6,7,Mid-career professional
60,Old Age,No,Travel_Frequently,Sales,28,3,Marketing,3,Female,2,3,Sales Executive,1,Married,10266,Medium,4,No,19,3,4,0,22,5,4,18,13,13,11,Mid-career professional
47,Middle Age,No,Travel_Rarely,Research & Development,2,2,Medical,1,Female,3,2,Manufacturing Director,4,Divorced,5070,Average,5,No,13,3,3,3,20,2,3,5,0,0,4,Mid-career professional
46,Middle Age,No,Travel_Rarely,Research & Development,2,3,Life Sciences,1,Male,3,4,Research Director,3,Married,17861,High,6,No,13,3,3,0,26,2,1,3,2,0,1,Specialized professionals
35,Young Adult,No,Travel_Rarely,Research & Development,22,3,Life Sciences,4,Male,1,1,Laboratory Technician,3,Single,4230,Average,0,No,15,3,3,0,6,2,3,5,4,4,3,Early-career professional
54,Middle Age,No,Travel_Rarely,Research & Development,8,4,Life Sciences,3,Female,3,2,Laboratory Technician,3,Single,3780,Average,7,No,11,3,3,0,19,3,3,1,0,0,0,Mid-career professional
34,Young Adult,No,Travel_Rarely,Research & Development,2,4,Life Sciences,4,Male,2,1,Research Scientist,3,Divorced,2768,Low,3,No,12,3,3,1,14,3,3,7,3,5,7,Mid-career professional
46,Middle Age,No,Travel_Rarely,Sales,10,3,Marketing,3,Female,2,3,Sales Executive,4,Married,9071,Medium,2,Yes,19,3,3,1,15,3,3,3,2,1,2,Mid-career professional
31,Young Adult,No,Travel_Rarely,Research & Development,9,1,Life Sciences,3,Male,3,3,Manufacturing Director,2,Divorced,10648,Medium,1,No,25,4,4,1,13,6,4,13,8,0,8,Mid-career professional
33,Young Adult,Yes,Travel_Rarely,Research & Development,15,1,Medical,2,Male,3,3,Manager,3,Married,13610,Medium,7,Yes,12,3,4,0,15,2,4,7,6,7,7,Mid-career professional
33,Young Adult,Yes,Travel_Rarely,Research & Development,10,1,Medical,1,Male,1,1,Laboratory Technician,4,Divorced,3408,Average,7,No,13,3,1,3,8,2,3,4,3,1,3,Early-career professional
